"response" "explanatory" "Gender" "Country"
33.6462778963671 28.4042146845001 "M" "1:Spain"
32.8748267700631 28.2280769545122 "M" "1:Spain"
35.7259019028427 30.1401603109585 "M" "1:Spain"
36.9490673640668 30.9357503724707 "M" "1:Spain"
35.8802602089454 27.5883795147492 "M" "1:Spain"
35.1942224370631 36.2908868693503 "M" "1:Spain"
34.7960778739074 27.8651309234318 "M" "1:Spain"
34.7011203773445 31.0651743184991 "M" "1:Spain"
34.7173179199194 31.0876582058321 "M" "1:Spain"
36.1181747634049 32.8412519139063 "M" "1:Spain"
34.3517112032531 30.6225020251901 "M" "1:Spain"
31.0098877546599 24.9766609107028 "M" "1:Spain"
32.6672495689641 29.4818575323048 "M" "1:Spain"
32.9057184632021 28.8794017667747 "M" "1:Spain"
35.5459417628708 32.4419014012725 "M" "1:Spain"
33.677246103498 27.5850120329741 "M" "1:Spain"
36.2370751352923 32.6863736579761 "M" "1:Spain"
36.9245208170562 30.5176980949369 "M" "1:Spain"
32.147567074951 27.0327664905921 "M" "1:Spain"
34.662218917126 29.0682468311258 "M" "1:Spain"
38.6744924389428 26.4965286952682 "F" "1:Spain"
43.7701777904302 37.0650760585445 "F" "1:Spain"
40.5871065060171 33.5110174730196 "F" "1:Spain"
37.5087475160912 27.554146526227 "F" "1:Spain"
39.6606063445448 27.1259428030954 "F" "1:Spain"
40.2063198233698 24.8244736496838 "F" "1:Spain"
40.6395074554916 34.7270658534649 "F" "1:Spain"
37.8931865479674 28.7186126417704 "F" "1:Spain"
38.8980162353563 28.3284866846581 "F" "1:Spain"
42.5997642621687 33.7020191769968 "F" "1:Spain"
40.5149488115661 31.7175560484596 "F" "1:Spain"
38.7016264548856 23.6236001807479 "F" "1:Spain"
40.9392975433793 29.4995476531178 "F" "1:Spain"
37.4202551266127 29.6304912953058 "F" "1:Spain"
39.3730029621995 32.5547527826382 "F" "1:Spain"
38.8142500217265 29.4235156777769 "F" "1:Spain"
38.4912360165105 28.0865661725225 "F" "1:Spain"
39.9058910789078 27.1513568742701 "F" "1:Spain"
37.2984280369437 23.401313409752 "F" "1:Spain"
41.4926448164962 37.7074370967251 "F" "1:Spain"
27.8575302242942 28.4578783296133 "M" "2:UK"
27.6523023553639 27.1357052589494 "M" "2:UK"
30.0136051995155 31.0595483285042 "M" "2:UK"
25.9495926002327 22.690082974557 "M" "2:UK"
29.3809982261388 26.8109178065956 "M" "2:UK"
29.1411240045925 23.7588581811863 "M" "2:UK"
31.0458259870774 27.3019110448115 "M" "2:UK"
29.2250490604035 31.3349310820192 "M" "2:UK"
31.4518654833564 27.6403421010829 "M" "2:UK"
30.2695241020422 27.0263885555475 "M" "2:UK"
29.4530282861207 33.552151904473 "M" "2:UK"
30.0585095220946 32.9698905044918 "M" "2:UK"
27.5230123598007 24.228840383986 "M" "2:UK"
31.5348098936811 30.858208782883 "M" "2:UK"
28.5089945367256 33.9253235333112 "M" "2:UK"
30.2732582459867 27.5059806223524 "M" "2:UK"
31.488929160327 31.2693373128473 "M" "2:UK"
27.1023695651313 23.4224246935429 "M" "2:UK"
30.5065246510524 31.9280684231505 "M" "2:UK"
31.1293383332859 32.0517096134703 "M" "2:UK"
30.8468946008448 28.9348519705903 "M" "2:UK"
